  +----------------------+-------------+------+---------------+--------+
  | Parameter Name       | YANG        | CBOR | CBOR Major    | JSON   |
  |                      | Type        | Key  |    Type &     | Type   |
  |                      |             |      | Information   |        |
  +======================+=============+======+===============+========+
  | tsid                 | uint32      |   128| 0 unsigned    | Number |
  | telemetry            | list        |   129| 4 array       | Array  |
  | low-percentile       | decimal64   |   130| 6 tag 4       |        |
  |                      |             |      |  [-2, integer]| String |
  | mid-percentile       | decimal64   |   131| 6 tag 4       |        |
  |                      |             |      |  [-2, integer]| String |
  | high-percentile      | decimal64   |   132| 6 tag 4       |        |
  |                      |             |      |  [-2, integer]| String |
  | unit-config          | list        |   133| 4 array       | Array  |
  | unit                 | enumeration |   134| 0 unsigned    | String |
  | unit-status          | boolean     |   135| 7 bits 20     | False  |
  |                      |             |      | 7 bits 21     | True   |
  | total-pipe-capacity  | list        |   136| 4 array       | Array  |
  | link-id              | string      |   137| 3 text string | String |
  | pre-or-ongoing-      | list        |   138| 4 array       | Array  |
  |      mitigation      |             |      |               |        |
  | total-traffic-normal | list        |   139| 4 array       | Array  |
  | low-percentile-g     | yang:gauge64|   140| 0 unsigned    | String |
  | mid-percentile-g     | yang:gauge64|   141| 0 unsigned    | String |
  | high-percentile-g    | yang:gauge64|   142| 0 unsigned    | String |
  | peak-g               | yang:gauge64|   143| 0 unsigned    | String |
  | total-attack-traffic | list        |   144| 4 array       | Array  |
  | total-traffic        | list        |   145| 4 array       | Array  |
  | total-connection-    |             |      |               |        |
  |        capacity      | list        |   146| 4 array       | Array  |
  | connection           | uint64      |   147| 0 unsigned    | String |
  | connection-client    | uint64      |   148| 0 unsigned    | String |
  | embryonic            | uint64      |   149| 0 unsigned    | String |
  | embryonic-client     | uint64      |   150| 0 unsigned    | String |
  | connection-ps        | uint64      |   151| 0 unsigned    | String |
  | connection-client-ps | uint64      |   152| 0 unsigned    | String |
  | request-ps           | uint64      |   153| 0 unsigned    | String |
  | request-client-ps    | uint64      |   154| 0 unsigned    | String |
  | partial-request-max  | uint64      |   155| 0 unsigned    | String |
  | partial-request-     |             |      |               |        |
  |        client-max    | uint64      |   156| 0 unsigned    | String |
  | total-attack-        |             |      |               |        |
  |        connection    | container   |   157| 5 map         | Object |
  | connection-c         | container   |   158| 5 map         | Object |
  | embryonic-c          | container   |   159| 5 map         | Object |
  | connection-ps-c      | container   |   160| 5 map         | Object |
  | request-ps-c         | container   |   161| 5 map         | Object |
  | attack-detail        | list        |   162| 4 array       | Array  |
  | id                   | uint32      |   163| 0 unsigned    | Number |
  | attack-id            | uint32      |   164| 0 unsigned    | Number |
